"date","SPY","QQQ","TLT","VIX"
2002-07-30,100,100,100,100
2002-07-31,100.24184914437,98.1078242674669,101.238927146956,100.344607464724
2002-08-01,97.6248217166883,93.5006419607602,101.815522076344,115.758147476889
2002-08-02,95.4365581792458,91.5261645216608,102.858135863057,129.354639150494
2002-08-05,92.1156658969438,88.1942163846785,103.312042896643,141.228075574268
2002-08-06,95.2165866005825,92.554549438893,102.428834285752,131.67292819185
2002-08-07,96.877117236194,93.7885722325271,102.674263106356,121.334584742059
2002-08-08,100.010964781149,96.956010068388,102.674263106356,113.815794938033
2002-08-09,100.384878767348,95.9687527264361,104.121615437294,110.68296286532
2002-08-12,99.6481325684288,96.256682998203,104.759533102982,116.071425903838
2002-08-13,97.8337440197421,92.9658903701044,106.0476499509,112.218043888498
2002-08-14,101.407508723728,98.8894157994136,106.452399100925,101.378447785106
2002-08-15,102.815088942769,100.904983568989,105.520159876073,92.1992488559942
2002-08-16,102.507139131959,101.604264083168,104.342470619017,90.2568903417351
2002-08-19,104.904363969898,104.072458649654,104.661355211261,89.6303275124344
2002-08-20,103.793658287763,103.619952898358,105.826731134376,92.7005015095959
2002-08-21,105.289177741507,105.92353474051,105.262502567929,88.439847978578
2002-08-22,106.311827196609,107.610109841446,104.342470619017,86.9360900177726
2002-08-23,104.02462064587,103.455368107628,105.372898341391,91.8546354158668
2002-08-26,104.750311069606,103.866774217247,105.471161079513,93.6403487412485
2002-08-27,103.540811864374,100.246839941291,104.808627351743,94.3295756215032
2002-08-28,101.275586872525,96.5858246460603,105.336149243971,104.385963706717
2002-08-29,101.319543490729,97.8610122597792,106.182555728442,105.482450151844
2002-08-30,100.923654445215,96.6269149765362,106.82045218253,102.255636941208
2002-09-03,97.0749252678994,93.1303913600248,108.462611850094,125.219301770578
2002-09-04,98.4605109289035,93.5006419607602,108.437932153212,117.293228500067
2002-09-05,97.6248217166883,91.1970508074068,109.02936459697,121.741856257738
2002-09-06,98.9663207680104,93.9942845985378,107.748067278529,113.815794938033
2002-09-09,99.6921086853546,94.9403771204049,107.5879515141,114.191731440533
2002-09-10,100.835656714346,97.2851424050441,108.105302444011,109.899754847142
2002-09-11,100.208844308167,96.4623860530126,107.538634543536,109.053888753413
2002-09-12,98.3615289181641,93.8297649862152,108.376386695109,117.48120272672
2002-09-13,98.603508054012,94.5701823868761,109.374180370509,112.218043888498
